"","Country","Region","Year","Happiness.Rank","Happiness.Score","Standard.Error","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual"
"204","El Salvador","Latin America and Caribbean","2016",46,6.068,0.101,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134
"205","Malaysia","Southeastern Asia","2016",47,6.005,0.0840000000000005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2.35384
"206","Nicaragua","Latin America and Caribbean","2016",48,5.992,0.115,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428
"207","Uzbekistan","Central and Eastern Europe","2016",49,5.987,0.0910000000000002,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638
"208","Italy","Western Europe","2016",50,5.977,0.0789999999999997,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2.34918
"209","Ecuador","Latin America and Caribbean","2016",51,5.976,0.0960000000000001,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366
"210","Belize","Latin America and Caribbean","2016",52,5.956,0.246,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,3.08039
"211","Japan","Eastern Asia","2016",53,5.921,0.0709999999999997,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584
"212","Kazakhstan","Central and Eastern Europe","2016",54,5.919,0.0820000000000007,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325
"213","Moldova","Central and Eastern Europe","2016",55,5.897,0.0739999999999998,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,3.38007
"214","Russia","Central and Eastern Europe","2016",56,5.856,0.0670000000000002,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,2.59115
"215","Poland","Central and Eastern Europe","2016",57,5.835,0.0860000000000003,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035
"216","South Korea","Eastern Asia","2016",57,5.835,0.0880000000000001,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,2.35015
"217","Bolivia","Latin America and Caribbean","2016",59,5.822,0.0819999999999999,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2.91635
"218","Lithuania","Central and Eastern Europe","2016",60,5.813,0.0790000000000006,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525
"219","Belarus","Central and Eastern Europe","2016",61,5.802,0.0790000000000006,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582
"220","North Cyprus","Western Europe","2016",62,5.771,0.101,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322,1.93447
"221","Slovenia","Central and Eastern Europe","2016",63,5.768,0.085,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522
"222","Peru","Latin America and Caribbean","2016",64,5.743,0.0960000000000001,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117
"223","Turkmenistan","Central and Eastern Europe","2016",65,5.658,0.0779999999999994,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,2.21489
"224","Mauritius","Sub-Saharan Africa","2016",66,5.648,0.141,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2.20223
"225","Libya","Middle East and Northern Africa","2016",67,5.615,0.209,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2.39374
"226","Latvia","Central and Eastern Europe","2016",68,5.56,0.0740000000000007,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859
"227","Cyprus","Western Europe","2016",69,5.546,0.104,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2.04497
"228","Paraguay","Latin America and Caribbean","2016",70,5.538,0.085,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091
"229","Romania","Central and Eastern Europe","2016",71,5.528,0.101,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,2.45184
"230","Estonia","Central and Eastern Europe","2016",72,5.517,0.0800000000000001,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,1.81985
"231","Jamaica","Latin America and Caribbean","2016",73,5.51,0.195,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682
"232","Croatia","Central and Eastern Europe","2016",74,5.488,0.0859999999999994,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2.52462
"233","Hong Kong","Eastern Asia","2016",75,5.458,0.0960000000000001,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097,0.92614
"234","Somalia","Sub-Saharan Africa","2016",76,5.44,0.119,0,0.33613,0.11466,0.56778,0.3118,0.27225,3.83772
"235","Kosovo","Central and Eastern Europe","2016",77,5.401,0.093,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2.80998
"236","Turkey","Middle East and Northern Africa","2016",78,5.389,0.0939999999999994,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,2.29074
"237","Indonesia","Southeastern Asia","2016",79,5.314,0.077,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2.03171
"238","Jordan","Middle East and Northern Africa","2016",80,5.303,0.116,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142
"239","Azerbaijan","Central and Eastern Europe","2016",81,5.291,0.0649999999999995,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2.2735
"240","Philippines","Southeastern Asia","2016",82,5.279,0.119,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484
"241","China","Eastern Asia","2016",83,5.245,0.0460000000000003,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2.17087
"242","Bhutan","Southern Asia","2016",84,5.196,0.0579999999999998,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916
"243","Kyrgyzstan","Central and Eastern Europe","2016",85,5.185,0.0820000000000007,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2.28136
"244","Serbia","Central and Eastern Europe","2016",86,5.177,0.0940000000000003,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2.27539
"245","Bosnia and Herzegovina","Central and Eastern Europe","2016",87,5.163,0.0999999999999996,0.93383,0.64367,0.70766,0.09511,0,0.29889,2.48406
"246","Montenegro","Central and Eastern Europe","2016",88,5.161,0.106000000000001,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,2.25531
"247","Dominican Republic","Latin America and Caribbean","2016",89,5.155,0.117999999999999,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626
"248","Morocco","Middle East and Northern Africa","2016",90,5.151,0.093,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,2.94891
"249","Hungary","Central and Eastern Europe","2016",91,5.145,0.0890000000000004,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.95473
"250","Pakistan","Southern Asia","2016",92,5.132,0.0940000000000003,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,3.18286
"251","Lebanon","Middle East and Northern Africa","2016",93,5.129,0.0980000000000008,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,2.07339
"252","Portugal","Western Europe","2016",94,5.123,0.093,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,1.53015
"253","Macedonia","Central and Eastern Europe","2016",95,5.121,0.103999999999999,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,2.08947
"254","Vietnam","Southeastern Asia","2016",96,5.061,0.0700000000000003,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,1.9418
"255","Somaliland Region","Sub-Saharan Africa","2016",97,5.057,0.122999999999999,0.25558,0.75862,0.33108,0.3913,0.36794,0.51479,2.43801
"256","Tunisia","Middle East and Northern Africa","2016",98,5.045,0.0800000000000001,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,2.68413
"257","Greece","Western Europe","2016",99,5.033,0.0979999999999999,1.24886,0.75473,0.80029,0.05822,0.04127,0,2.12944
"258","Tajikistan","Central and Eastern Europe","2016",100,4.996,0.0729999999999995,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998,2.39106
"259","Mongolia","Eastern Asia","2016",101,4.907,0.069,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,1.53586
"260","Laos","Southeastern Asia","2016",102,4.876,0.133999999999999,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2.08637
"261","Nigeria","Sub-Saharan Africa","2016",103,4.875,0.125,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586
"262","Honduras","Latin America and Caribbean","2016",104,4.871,0.121,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,2.29551
"263","Iran","Middle East and Northern Africa","2016",105,4.813,0.11,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,1.99817
"264","Zambia","Sub-Saharan Africa","2016",106,4.795,0.15,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,2.58991
"265","Nepal","Southern Asia","2016",107,4.793,0.0949999999999998,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,2.32694
"266","Palestinian Territories","Middle East and Northern Africa","2016",108,4.754,0.105,0.67024,0.71629,0.56844,0.17744,0.10613,0.11154,2.40364
"267","Albania","Central and Eastern Europe","2016",109,4.655,0.109,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816
"268","Bangladesh","Southern Asia","2016",110,4.643,0.0830000000000002,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904
"269","Sierra Leone","Sub-Saharan Africa","2016",111,4.635,0.13,0.36485,0.628,0,0.30685,0.08196,0.23897,3.01402
"270","Iraq","Middle East and Northern Africa","2016",112,4.575,0.129,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,1.81657
"271","Namibia","Sub-Saharan Africa","2016",113,4.574,0.2,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,1.92198
"272","Cameroon","Sub-Saharan Africa","2016",114,4.513,0.0960000000000001,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2.5198
"273","Ethiopia","Sub-Saharan Africa","2016",115,4.508,0.0830000000000002,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,2.65614
"274","South Africa","Sub-Saharan Africa","2016",116,4.459,0.0880000000000001,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1.64227
"275","Sri Lanka","Southern Asia","2016",117,4.415,0.093,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681
"276","India","Southern Asia","2016",118,4.404,0.0529999999999999,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032
"277","Myanmar","Southeastern Asia","2016",119,4.395,0.0680000000000005,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,1.50655
"278","Egypt","Middle East and Northern Africa","2016",120,4.362,0.103,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,1.96895
"279","Armenia","Central and Eastern Europe","2016",121,4.36,0.0939999999999994,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864
"280","Kenya","Sub-Saharan Africa","2016",122,4.356,0.0970000000000004,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326
"281","Ukraine","Central and Eastern Europe","2016",123,4.324,0.0880000000000001,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066
"282","Ghana","Sub-Saharan Africa","2016",124,4.276,0.0910000000000002,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,2.2002
"283","Congo (Kinshasa)","Sub-Saharan Africa","2016",125,4.272,0.0809999999999995,0.05661,0.80676,0.188,0.15602,0.06075,0.25458,2.74924
"284","Georgia","Central and Eastern Europe","2016",126,4.252,0.0880000000000001,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,1.87031
"285","Congo (Brazzaville)","Sub-Saharan Africa","2016",127,4.236,0.129,0.77109,0.47799,0.28212,0.37938,0.09753,0.12077,2.10681
"286","Senegal","Sub-Saharan Africa","2016",128,4.219,0.0679999999999996,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,1.97861
"287","Bulgaria","Central and Eastern Europe","2016",129,4.217,0.113,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377
"288","Mauritania","Sub-Saharan Africa","2016",130,4.201,0.0740000000000007,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,1.9263
"289","Zimbabwe","Sub-Saharan Africa","2016",131,4.193,0.0920000000000005,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,2.4427
"290","Malawi","Sub-Saharan Africa","2016",132,4.156,0.115,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859
"291","Sudan","Sub-Saharan Africa","2016",133,4.139,0.210999999999999,0.63069,0.81928,0.29759,0,0.10039,0.18077,2.10995
"292","Gabon","Sub-Saharan Africa","2016",134,4.121,0.0909999999999993,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.45332
"293","Mali","Sub-Saharan Africa","2016",135,4.073,0.085,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087
"294","Haiti","Latin America and Caribbean","2016",136,4.028,0.135000000000001,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116
"295","Botswana","Sub-Saharan Africa","2016",137,3.974,0.0990000000000002,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741
"296","Comoros","Sub-Saharan Africa","2016",138,3.956,0.0959999999999996,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,2.25632
"297","Ivory Coast","Sub-Saharan Africa","2016",139,3.916,0.0900000000000003,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,1.97478
"298","Cambodia","Southeastern Asia","2016",140,3.907,0.109,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573
"299","Angola","Sub-Saharan Africa","2016",141,3.866,0.113,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459
"300","Niger","Sub-Saharan Africa","2016",142,3.856,0.0750000000000002,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469
"301","South Sudan","Sub-Saharan Africa","2016",143,3.832,0.236,0.39394,0.18519,0.15781,0.19662,0.13015,0.25899,2.50929
"302","Chad","Sub-Saharan Africa","2016",144,3.763,0.0910000000000002,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30637
"303","Burkina Faso","Sub-Saharan Africa","2016",145,3.739,0.0920000000000001,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319
"304","Uganda","Sub-Saharan Africa","2016",145,3.739,0.11,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416
"305","Yemen","Middle East and Northern Africa","2016",147,3.724,0.103,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821,1.97295
"306","Madagascar","Sub-Saharan Africa","2016",148,3.695,0.0740000000000003,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,2.15075
"307","Tanzania","Sub-Saharan Africa","2016",149,3.666,0.105,0.47155,0.77623,0.357,0.3176,0.05099,0.31472,1.37769
"308","Liberia","Sub-Saharan Africa","2016",150,3.622,0.159,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,2.23284
"309","Guinea","Sub-Saharan Africa","2016",151,3.607,0.0739999999999998,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604
"310","Rwanda","Sub-Saharan Africa","2016",152,3.515,0.0709999999999997,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819
"311","Benin","Sub-Saharan Africa","2016",153,3.484,0.0800000000000001,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812
"312","Afghanistan","Southern Asia","2016",154,3.36,0.0720000000000001,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558
"313","Togo","Sub-Saharan Africa","2016",155,3.303,0.111,0.28123,0,0.24811,0.34678,0.11587,0.17517,2.1354
"314","Syria","Middle East and Northern Africa","2016",156,3.069,0.133,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,0.81789
"315","Burundi","Sub-Saharan Africa","2016",157,2.905,0.173,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404
"316","Norway","Western Europe","2017",1,7.537000179,0.0574446420000001,1.616463184,1.53352356,0.796666503,0.635422587,0.315963835,0.362012237,2.277026653
"317","Denmark","Western Europe","2017",2,7.521999836,0.0597282290000001,1.482383013,1.551121593,0.792565525,0.626006722,0.400770068,0.355280489,2.313707352
"318","Iceland","Western Europe","2017",3,7.504000187,0.118030286,1.48063302,1.610574007,0.833552122,0.627162635,0.153526559,0.475540221,2.322715282
"319","Switzerland","Western Europe","2017",4,7.493999958,0.0677724619999998,1.564979553,1.516911745,0.858131289,0.620070577,0.367007285,0.290549278,2.276716232
"320","Finland","Western Europe","2017",5,7.468999863,0.058542213,1.443571925,1.540246725,0.80915767,0.617950857,0.382611543,0.245482773,2.430181503
"321","Netherlands","Western Europe","2017",6,7.376999855,0.0504259859999996,1.503944635,1.428939223,0.810696125,0.585384488,0.282661825,0.47048983,2.294804096
"322","Canada","North America","2017",7,7.315999985,0.06840285,1.479204416,1.481348991,0.834557652,0.611100912,0.287371516,0.435539722,2.187264442
"323","New Zealand","Australia and New Zealand","2017",8,7.31400013,0.0655103119999998,1.405706048,1.548195124,0.816759706,0.61406213,0.382816702,0.500005126,2.046456337
"324","Sweden","Western Europe","2017",9,7.28399992,0.0600949569999996,1.494387269,1.478162169,0.830875158,0.612924099,0.384398729,0.385399252,2.097537994
"325","Australia","Australia and New Zealand","2017",10,7.28399992,0.0726513049999999,1.484414935,1.510041952,0.843886793,0.601607382,0.30118373,0.47769925,2.065210819
"326","Israel","Middle East and Northern Africa","2017",11,7.212999821,0.0668534349999996,1.375382423,1.376289964,0.838404,0.405988604,0.0852421,0.330082655,2.801757336
"327","Costa Rica","Latin America and Caribbean","2017",12,7.078999996,0.0891116699999994,1.109706283,1.416403651,0.759509265,0.58013165,0.100106589,0.214613229,2.898639202
"328","Austria","Western Europe","2017",13,7.006000042,0.0646697700000001,1.487097263,1.459944963,0.815328419,0.56776619,0.221060365,0.316472322,2.138506413
"329","United States","North America","2017",14,6.993000031,0.0816567169999995,1.546259284,1.419920564,0.774286628,0.505740523,0.135638788,0.392578781,2.218113422
"330","Ireland","Western Europe","2017",15,6.977000237,0.0663514309999993,1.535706639,1.558231115,0.809782624,0.573110342,0.298388153,0.427858323,1.773869038
"331","Germany","Western Europe","2017",16,6.951000214,0.0543813550000003,1.487923384,1.472520351,0.798950732,0.562511384,0.276731938,0.33626917,2.015769958
"332","Belgium","Western Europe","2017",17,6.890999794,0.0648209560000002,1.463780761,1.462312698,0.818091869,0.539770722,0.251343131,0.231503338,2.124210358
"333","Luxembourg","Western Europe","2017",18,6.862999916,0.0606861840000006,1.741943598,1.457583666,0.845089495,0.596627891,0.318834424,0.283180982,1.619512081
"334","United Kingdom","Western Europe","2017",19,6.714000225,0.0697915359999994,1.44163394,1.49646008,0.805335939,0.508190036,0.265428066,0.492774159,1.704143524
"335","Chile","Latin America and Caribbean","2017",20,6.65199995,0.0872506099999999,1.25278461,1.284024954,0.819479704,0.376895279,0.082287982,0.326662421,2.509585857
"336","United Arab Emirates","Middle East and Northern Africa","2017",21,6.647999763,0.0740475410000005,1.626343369,1.266410232,0.726798236,0.60834527,0.324489564,0.360941947,1.734703541
"337","Brazil","Latin America and Caribbean","2017",22,6.635000229,0.0904692730000001,1.10735321,1.431306005,0.616552353,0.437453747,0.111092761,0.162349895,2.769267082
"338","Czech Republic","Central and Eastern Europe","2017",23,6.609000206,0.0748622569999995,1.352682352,1.433885217,0.754444003,0.490946174,0.036872927,0.088106759,2.451861858
"339","Argentina","Latin America and Caribbean","2017",24,6.598999977,0.0910851089999998,1.185295463,1.440451145,0.695137084,0.494519204,0.059739888,0.109457061,2.614005327
"340","Mexico","Latin America and Caribbean","2017",25,6.578000069,0.0931488390000004,1.153183818,1.21086216,0.709978998,0.412730008,0.132774115,0.120990433,2.837154865
"341","Singapore","Southeastern Asia","2017",26,6.572000027,0.0647230420000007,1.69227767,1.353814363,0.949492395,0.549840569,0.464307785,0.345965981,1.216362
"342","Malta","Western Europe","2017",27,6.52699995,0.0713968229999997,1.343279839,1.488411665,0.821944237,0.588767052,0.153066069,0.574730575,1.556862831
"343","Uruguay","Latin America and Caribbean","2017",28,6.453999996,0.0919062219999995,1.217559695,1.412227869,0.719216824,0.579392254,0.178061873,0.175096929,2.172409534
"344","Guatemala","Latin America and Caribbean","2017",29,6.453999996,0.112873977,0.872001946,1.255585194,0.54023999,0.531310618,0.077223279,0.283488393,2.893891096
"345","Panama","Latin America and Caribbean","2017",30,6.452000141,0.105130575,1.233748436,1.373192549,0.706156135,0.550026834,0.070983924,0.210556939,2.307199955
"346","France","Western Europe","2017",31,6.441999912,0.0737678900000001,1.430923462,1.387776852,0.844465852,0.470222116,0.172502428,0.129762307,2.005954742
"347","Thailand","Southeastern Asia","2017",32,6.423999786,0.0851170699999999,1.127868772,1.425792456,0.647239029,0.580200732,0.031612735,0.57212311,2.039508343
"349","Spain","Western Europe","2017",34,6.402999878,0.0680549670000001,1.384397864,1.532090902,0.8889606,0.40878123,0.070914097,0.190133572,1.92775774
"350","Qatar","Middle East and Northern Africa","2017",35,6.375,0.193476814,1.870765686,1.27429688,0.710098088,0.604130983,0.439299256,0.33047387,1.14546442
"351","Colombia","Latin America and Caribbean","2017",36,6.356999874,0.0950201799999997,1.070622325,1.402182937,0.595027924,0.477487415,0.046668742,0.149014473,2.616068125
"352","Saudi Arabia","Middle East and Northern Africa","2017",37,6.343999863,0.100166749,1.530623555,1.286677599,0.59014833,0.449750572,0.273432255,0.147616014,2.065429688
"353","Trinidad and Tobago","Latin America and Caribbean","2017",38,6.168000221,0.21353367,1.361355901,1.380228519,0.519983292,0.518630743,0.008964816,0.325296462,2.053247452
"354","Kuwait","Middle East and Northern Africa","2017",39,6.105000019,0.0869569700000001,1.632952452,1.259698749,0.632105708,0.496337593,0.21515955,0.228289798,1.640425205
"355","Slovakia","Central and Eastern Europe","2017",40,6.09800005,0.0793483620000002,1.325393558,1.505059242,0.712732911,0.295817465,0.024210852,0.136544481,2.097776651
"356","Bahrain","Middle East and Northern Africa","2017",41,6.086999893,0.0919891750000001,1.488412261,1.323110461,0.653133035,0.536746919,0.25704217,0.172668487,1.656149387
"357","Malaysia","Southeastern Asia","2017",42,6.084000111,0.0959795259999998,1.29121542,1.284646034,0.618784428,0.402264982,0.065600708,0.41660893,2.004448891
"358","Nicaragua","Latin America and Caribbean","2017",43,6.071000099,0.115583501,0.737299204,1.28721571,0.653095961,0.447551847,0.130687982,0.301674217,2.513930559
"359","Ecuador","Latin America and Caribbean","2017",44,6.007999897,0.0978477779999993,1.000820398,1.286168814,0.685636222,0.455198199,0.140134647,0.150112465,2.290352583
"360","El Salvador","Latin America and Caribbean","2017",45,6.002999783,0.105635339,0.909784496,1.182125092,0.596018553,0.43245253,0.08998096,0.078257985,2.714593887
"361","Poland","Central and Eastern Europe","2017",46,5.97300005,0.0809082910000001,1.291787863,1.44571197,0.699475348,0.520342112,0.059307806,0.158465967,1.797722816
"362","Uzbekistan","Central and Eastern Europe","2017",47,5.971000195,0.0945373780000001,0.786441088,1.54896915,0.498272628,0.658248663,0.246528223,0.415983647,1.816913605
"363","Italy","Western Europe","2017",48,5.964000225,0.0787366809999996,1.395066619,1.444923282,0.853144348,0.256450713,0.028028091,0.172789648,1.813312054
"364","Russia","Central and Eastern Europe","2017",49,5.962999821,0.0672750859999995,1.281778097,1.469282389,0.547349334,0.373783112,0.032962881,0.052263822,2.205607414
"366","Japan","Eastern Asia","2017",51,5.920000076,0.0707193689999999,1.416915178,1.436337829,0.913475871,0.505625546,0.163760737,0.120572768,1.363223553
"367","Lithuania","Central and Eastern Europe","2017",52,5.90199995,0.0806696909999998,1.314582348,1.473516107,0.62894994,0.234231785,0.011865643,0.010164657,2.228440523
"368","Algeria","Middle East and Northern Africa","2017",53,5.872000217,0.106286217,1.091864467,1.146217465,0.617584646,0.233335808,0.14609611,0.069436647,2.567603827
"369","Latvia","Central and Eastern Europe","2017",54,5.849999905,0.0702636330000006,1.260748625,1.404714942,0.638566971,0.325707912,0.073842727,0.153074786,1.993655205
"370","South Korea","Eastern Asia","2017",55,5.837999821,0.0845592069999999,1.401678443,1.128274441,0.900214076,0.257921666,0.063282669,0.206674367,1.880378008
"371","Moldova","Central and Eastern Europe","2017",56,5.837999821,0.0703710169999994,0.72887063,1.251825571,0.589465201,0.240729049,0.010091286,0.208779126,2.807808399
"372","Romania","Central and Eastern Europe","2017",57,5.824999809,0.094694348,1.217683911,1.15009129,0.685158312,0.457003742,0.004387901,0.133519918,2.176831484
"373","Bolivia","Latin America and Caribbean","2017",58,5.822999954,0.0809769490000001,0.833756566,1.227619052,0.47363025,0.558732927,0.060477726,0.225560725,2.443279028
"374","Turkmenistan","Central and Eastern Europe","2017",59,5.822000027,0.0631808490000001,1.130776763,1.493149161,0.43772608,0.418271929,0.25927034,0.249924988,1.832909822
"375","Kazakhstan","Central and Eastern Europe","2017",60,5.818999767,0.0846420079999994,1.28455627,1.384369016,0.606041551,0.437454283,0.119282886,0.201964423,1.784892559
"376","North Cyprus","Western Europe","2017",61,5.809999943,0.0873665219999999,1.346911311,1.186303377,0.834647238,0.471203625,0.155353352,0.266845703,1.549157619
"377","Slovenia","Central and Eastern Europe","2017",62,5.757999897,0.0842252629999996,1.341205955,1.452518821,0.790828228,0.572575808,0.045128979,0.242649093,1.313317299
"378","Peru","Latin America and Caribbean","2017",63,5.715000153,0.0969466260000003,1.035225272,1.218770385,0.630166113,0.450002879,0.047049087,0.126819715,2.20726943
"379","Mauritius","Sub-Saharan Africa","2017",64,5.629000187,0.100862005,1.189395547,1.20956099,0.638007462,0.491247326,0.042181555,0.360933751,1.697583914
"380","Cyprus","Western Europe","2017",65,5.620999813,0.0936928860000004,1.355938077,1.131363273,0.844714701,0.355111539,0.041237976,0.271254301,1.621249199
"381","Estonia","Central and Eastern Europe","2017",66,5.611000061,0.0771398129999996,1.32087934,1.4766711,0.695168316,0.47913143,0.183248922,0.098890811,1.357508659
"382","Belarus","Central and Eastern Europe","2017",67,5.568999767,0.0771144769999994,1.15655756,1.444945216,0.637714267,0.295400262,0.156313822,0.155137509,1.723232985
"383","Libya","Middle East and Northern Africa","2017",68,5.525000095,0.151953712,1.101803064,1.35756433,0.52016902,0.46573323,0.09261021,0.152073666,1.835011244
"384","Turkey","Middle East and Northern Africa","2017",69,5.5,0.094864963,1.198274374,1.337753177,0.637605608,0.3007406,0.09967158,0.046693042,1.879277945
"385","Paraguay","Latin America and Caribbean","2017",70,5.493000031,0.0843812389999998,0.932537317,1.50728488,0.579250693,0.473507792,0.091065913,0.224150658,1.68533349
"387","Philippines","Southeastern Asia","2017",72,5.429999828,0.115335226,0.857699215,1.253917575,0.468009055,0.585214674,0.099331893,0.193513423,1.972604752
"388","Serbia","Central and Eastern Europe","2017",73,5.394999981,0.0965696750000005,1.069317579,1.258189797,0.650784671,0.208715528,0.040903781,0.220125884,1.947084427
"389","Jordan","Middle East and Northern Africa","2017",74,5.335999966,0.112410056,0.991012394,1.239088893,0.604590058,0.418421149,0.119803272,0.17217046,1.791176558
"390","Hungary","Central and Eastern Europe","2017",75,5.323999882,0.0790398269999999,1.286011934,1.343133092,0.687763453,0.175863519,0.036636937,0.078401662,1.716459274
"391","Jamaica","Latin America and Caribbean","2017",76,5.31099987,0.270398858,0.925579309,1.368218064,0.641022384,0.474307239,0.055267781,0.233818337,1.612325668
"392","Croatia","Central and Eastern Europe","2017",77,5.293000221,0.0987769840000006,1.222556233,0.967983007,0.701288521,0.255772293,0.04310311,0.248002976,1.854492426
"393","Kosovo","Central and Eastern Europe","2017",78,5.278999805,0.0858481900000001,0.951484382,1.137853503,0.54145205,0.260287941,0.057471618,0.319931448,2.010540724
"394","China","Eastern Asia","2017",79,5.272999763,0.0462783270000005,1.081165791,1.160837412,0.741415501,0.472787708,0.022794275,0.028806841,1.764938593
